data_status,round_id,group,club_id,club_name,counted,source_match_id,source_date,source_competition_type,source_competition,home_club,away_club,goals_for,goals_against,is_home,yellow_cards,red_cards,base_points,bonus_points,penalty_points,fantasy_total,fantasy_explanation,source_url,notes
loaded,GS-F2,C,ec-universidad-catolica,Universidad Católica,true,GS-F2-ec-universidad-catolica-2026-05-01,2026-05-01,local-league,LigaPro Ecuador,Universidad Católica,Independiente del Valle,2,3,true,2,0,0.0,0.0,-0.5,-0.5,"base=0(der) 2A=-0,5 total=-0,5",,
loaded,GS-F2,C,br-bahia,Bahia,true,GS-F2-br-bahia-2026-04-25,2026-04-25,local-league,Brasileirão Série A,Bahia,Santos,2,2,true,3,0,1.0,0.0,-0.75,0.25,"base=1(emp) 3A=-0,75 total=0,25",,
loaded,GS-F2,C,br-bahia,Bahia,true,GS-F2-br-bahia-2026-05-03,2026-05-03,local-league,Brasileirão Série A,São Paulo,Bahia,2,2,false,3,0,1.0,0.0,-0.75,0.25,"base=1(emp) 3A=-0,75 total=0,25",,
loaded,GS-F2,D,uy-danubio,Danubio,true,GS-F2-uy-danubio-2026-04-25,2026-04-25,local-league,Liga AUF Uruguaya · Apertura,Nacional,Danubio,2,1,false,3,0,3.0,0.0,-0.75,2.25,"base=3(vic) 3A=-0,75 total=2,25",,
loaded,GS-F2,D,uy-danubio,Danubio,true,GS-F2-uy-danubio-2026-05-02,2026-05-02,local-league,Liga AUF Uruguaya · Apertura,Liverpool,Danubio,0,3,false,0,1,0.0,0.0,-2.0,-2.0,base=0(der) der3=-1 1R=-1 total=-2,,
loaded,GS-F2,D,ec-delfin,Delfín,true,GS-F2-ec-delfin-2026-04-27,2026-04-27,local-league,LigaPro Ecuador,Aucas,Delfín,0,1,false,3,0,0.0,0.0,-0.75,-0.75,"base=0(der) 3A=-0,75 total=-0,75",,
loaded,GS-F2,D,ec-delfin,Delfín,true,GS-F2-ec-delfin-2026-05-03,2026-05-03,local-league,LigaPro Ecuador,Delfín,Mushuc Runa,1,0,true,2,0,3.0,1.0,-0.5,3.5,"base=3(vic) CS=1 2A=-0,5 total=3,5",,
loaded,GS-F2,D,co-atletico-bucaramanga,Atlético Bucaramanga,true,GS-F2-co-atletico-bucaramanga-2026-04-25,2026-04-25,local-league,Liga BetPlay · F16,Atlético Bucaramanga,Jaguares de Córdoba,2,2,true,2,0,1.0,0.0,-0.5,0.5,"base=1(emp) 2A=-0,5 total=0,5",,
loaded,GS-F2,D,co-atletico-bucaramanga,Atlético Bucaramanga,true,GS-F2-co-atletico-bucaramanga-2026-05-07,2026-05-07,local-cup,Copa Colombia,Atlético Bucaramanga,Real Santander,5,0,true,1,0,3.0,5.0,-0.25,7.75,"base=3(vic) CS=1 marg+4 1A=-0,25 total=7,75",,
loaded,GS-F2,D,bo-nacional-potosi,Nacional Potosí,true,GS-F2-bo-nacional-potosi-2026-04-22,2026-04-22,local-league,Liga Profesional · F4,Blooming,Nacional Potosí,1,2,false,3,0,0.0,0.0,-0.75,-0.75,"base=0(der) 3A=-0,75 total=-0,75",,
loaded,GS-F2,D,bo-nacional-potosi,Nacional Potosí,true,GS-F2-bo-nacional-potosi-2026-04-25,2026-04-25,local-league,Liga Profesional · F5,Nacional Potosí,GV San José,1,1,true,2,1,1.0,0.0,-1.5,-0.5,"base=1(emp) 2A=-0,5 1R=-1 total=-0,5",,
loaded,GS-F2,E,uy-racing-club,Racing Club,true,GS-F2-uy-racing-club-2026-04-26,2026-04-26,local-league,Liga AUF Uruguaya · Apertura,Cerro Largo,Racing Club,1,0,false,3,0,3.0,1.0,-0.75,3.25,"base=3(vic) CS=1 3A=-0,75 total=3,25",,
loaded,GS-F2,E,uy-racing-club,Racing Club,true,GS-F2-uy-racing-club-2026-05-03,2026-05-03,local-league,Liga AUF Uruguaya · Apertura,Racing Club,Montevideo City Torque,1,1,true,1,1,1.0,0.0,-1.25,-0.25,"base=1(emp) 1A=-0,25 1R=-1 total=-0,25",,
loaded,GS-F2,E,ve-metropolitanos,Metropolitanos,true,GS-F2-ve-metropolitanos-2026-04-26,2026-04-26,local-league,Liga FUTVE,Metropolitanos,Estudiantes de Mérida,2,0,true,3,0,3.0,2.0,-0.75,4.25,"base=3(vic) CS=1 marg+1 3A=-0,75 total=4,25",,
loaded,GS-F2,E,ve-metropolitanos,Metropolitanos,true,GS-F2-ve-metropolitanos-2026-05-03,2026-05-03,local-league,Liga FUTVE,Carabobo,Metropolitanos,0,0,false,4,0,1.0,1.0,-1.0,1.0,base=1(emp) CS=1 4A=-1 total=1,,
loaded,GS-F2,E,cl-nublense,Ñublense,true,GS-F2-cl-nublense-2026-04-25,2026-04-25,local-league,Liga de Primera · F11,Ñublense,O'Higgins,0,2,true,2,1,0.0,0.0,-1.5,-1.5,"base=0(der) 2A=-0,5 1R=-1 total=-1,5",,
loaded,GS-F2,E,cl-nublense,Ñublense,true,GS-F2-cl-nublense-2026-05-02,2026-05-02,local-cup,Copa de La Liga · F4,Ñublense,Cobresal,2,0,true,2,0,3.0,2.0,-0.5,4.5,"base=3(vic) CS=1 marg+1 2A=-0,5 total=4,5",,
loaded,GS-F2,E,py-sportivo-ameliano,Sportivo Ameliano,true,GS-F2-py-sportivo-ameliano-2026-04-24,2026-04-24,local-league,Primera División Paraguay,Cerro Porteño,Sportivo Ameliano,1,1,false,1,0,1.0,0.0,-0.25,0.75,"base=1(emp) 1A=-0,25 total=0,75",,
loaded,GS-F2,E,py-sportivo-ameliano,Sportivo Ameliano,true,GS-F2-py-sportivo-ameliano-2026-05-03,2026-05-03,local-league,Primera División Paraguay,Club Olimpia,Sportivo Ameliano,1,1,false,3,0,1.0,0.0,-0.75,0.25,"base=1(emp) 3A=-0,75 total=0,25",,
loaded,GS-F2,F,ec-aucas,Aucas,true,GS-F2-ec-aucas-2026-04-22,2026-04-22,local-league,LigaPro Ecuador,Liga de Quito,Aucas,0,0,false,2,0,1.0,1.0,-0.5,1.5,"base=1(emp) CS=1 2A=-0,5 total=1,5",,
loaded,GS-F2,F,ec-aucas,Aucas,true,GS-F2-ec-aucas-2026-04-27,2026-04-27,local-league,LigaPro Ecuador,Aucas,Delfín,1,0,true,4,0,3.0,1.0,-1.0,3.0,base=3(vic) CS=1 4A=-1 total=3,,
loaded,GS-F2,F,uy-cerro-largo,Cerro Largo,true,GS-F2-uy-cerro-largo-2026-04-26,2026-04-26,local-league,Liga AUF Uruguaya · Apertura,Cerro Largo,Racing Club,0,1,true,3,0,0.0,0.0,-0.75,-0.75,"base=0(der) 3A=-0,75 total=-0,75",,
loaded,GS-F2,F,uy-cerro-largo,Cerro Largo,true,GS-F2-uy-cerro-largo-2026-05-03,2026-05-03,local-league,Liga AUF Uruguaya · Apertura,Progreso,Cerro Largo,1,0,false,3,0,3.0,1.0,-0.75,3.25,"base=3(vic) CS=1 3A=-0,75 total=3,25",,
loaded,GS-F2,F,bo-san-antonio-bulo-bulo,San Antonio Bulo Bulo,true,GS-F2-bo-san-antonio-bulo-bulo-2026-04-23,2026-04-23,local-league,Liga Profesional · F3,San Antonio Bulo Bulo,Real Oruro,2,1,true,2,0,3.0,0.0,-0.5,2.5,"base=3(vic) 2A=-0,5 total=2,5",,
loaded,GS-F2,F,bo-san-antonio-bulo-bulo,San Antonio Bulo Bulo,true,GS-F2-bo-san-antonio-bulo-bulo-2026-04-27,2026-04-27,local-league,Liga Profesional · F4,Aurora,San Antonio Bulo Bulo,1,3,false,5,0,0.0,0.0,-1.25,-1.25,"base=0(der) 5A=-1,25 total=-1,25",,
loaded,GS-F2,F,ve-zamora,Zamora,true,GS-F2-ve-zamora-2026-04-25,2026-04-25,local-league,Liga FUTVE,Anzoátegui,Zamora,1,1,false,5,0,1.0,0.0,-1.25,-0.25,"base=1(emp) 5A=-1,25 total=-0,25",,
loaded,GS-F2,F,ve-zamora,Zamora,true,GS-F2-ve-zamora-2026-06-24,2026-06-24,local-cup,Copa Venezuela,Atlético El Vigía,Zamora,6,1,false,0,0,3.0,4.0,0.0,7.0,base=3(vic) marg+4 total=7,"https://www.sofascore.com/es/football/match/atletico-el-vigia-zamora/MzcsQed#id:16378422,tab:statistics",
loaded,GS-F2,G,bo-gv-san-jose,GV San José,true,GS-F2-bo-gv-san-jose-2026-04-21,2026-04-21,local-league,Liga Profesional · F3,GV San José,Aurora,1,1,true,4,0,1.0,0.0,-1.0,0.0,base=1(emp) 4A=-1 total=0,,
loaded,GS-F2,G,bo-gv-san-jose,GV San José,true,GS-F2-bo-gv-san-jose-2026-04-25,2026-04-25,local-league,Liga Profesional · F4,Nacional Potosí,GV San José,1,1,false,5,0,1.0,0.0,-1.25,-0.25,"base=1(emp) 5A=-1,25 total=-0,25",,
loaded,GS-F2,G,py-general-caballero,General Caballero (JLM),true,GS-F2-py-general-caballero-2026-04-25,2026-04-25,local-league,División Intermedia · F4,Tacuary,General Caballero JLM,2,0,false,1,0,3.0,2.0,-0.25,4.75,"base=3(vic) CS=1 marg+1 1A=-0,25 total=4,75",,
loaded,GS-F2,G,py-general-caballero,General Caballero (JLM),true,GS-F2-py-general-caballero-2026-05-03,2026-05-03,local-league,División Intermedia · F5,General Caballero JLM,Independiente FBC,4,2,true,2,0,3.0,1.0,-0.5,3.5,"base=3(vic) marg+1 2A=-0,5 total=3,5",,
loaded,GS-F2,G,ve-rayo-zuliano,Rayo Zuliano,true,GS-F2-ve-rayo-zuliano-2026-04-25,2026-04-25,local-league,Liga FUTVE,Caracas,Rayo Zuliano,1,2,false,1,0,0.0,0.0,-0.25,-0.25,"base=0(der) 1A=-0,25 total=-0,25",,
loaded,GS-F2,G,ve-rayo-zuliano,Rayo Zuliano,true,GS-F2-ve-rayo-zuliano-2026-06-24,2026-06-24,local-cup,Copa Venezuela,Trujillanos,Rayo Zuliano,0,0,false,0,0,1.0,1.0,0.0,2.0,base=1(emp) CS=1 total=2,"https://www.sofascore.com/es/football/match/deportivo-rayo-zuliano-trujillanos-fc/KzcskBed#id:16378414,tab:statistics",
loaded,GS-F2,G,pe-adt,ADT,true,GS-F2-pe-adt-2026-04-27,2026-04-27,local-league,Liga 1 · F12,ADT,Los Chankas,4,0,true,3,1,3.0,4.0,-1.75,5.25,"base=3(vic) CS=1 marg+3 3A=-0,75 1R=-1 total=5,25",,
loaded,GS-F2,G,pe-adt,ADT,true,GS-F2-pe-adt-2026-05-02,2026-05-02,local-league,Liga 1 · F13,ADT,Atlético Grau,1,0,true,0,0,3.0,1.0,0.0,4.0,base=3(vic) CS=1 total=4,,
loaded,GS-F2,H,ve-anzoategui,Anzoátegui,true,GS-F2-ve-anzoategui-2026-04-25,2026-04-25,local-league,Liga FUTVE,Anzoátegui,Zamora,1,1,true,4,1,1.0,0.0,-2.0,-1.0,base=1(emp) 4A=-1 1R=-1 total=-1,,
loaded,GS-F2,H,ve-anzoategui,Anzoátegui,true,GS-F2-ve-anzoategui-2026-06-24,2026-06-24,local-cup,Copa Venezuela,Atlético Ávila,Anzoátegui,3,1,false,0,0,3.0,1.0,0.0,4.0,base=3(vic) marg+1 total=4,"https://www.sofascore.com/es/football/match/atletico-avila-fc-anzoategui-fc/TyrdsVquj#id:16378417,tab:statistics",
loaded,GS-F2,H,ec-orense,Orense,true,GS-F2-ec-orense-2026-04-22,2026-04-22,local-league,LigaPro Ecuador,Deportivo Cuenca,Orense,3,1,false,4,0,3.0,1.0,-1.0,3.0,base=3(vic) marg+1 4A=-1 total=3,,
loaded,GS-F2,H,ec-orense,Orense,true,GS-F2-ec-orense-2026-04-26,2026-04-26,local-league,LigaPro Ecuador,Orense,Barcelona SC,1,1,true,3,0,1.0,0.0,-0.75,0.25,"base=1(emp) 3A=-0,75 total=0,25",,
loaded,GS-F2,H,pe-los-chankas,Los Chankas,true,GS-F2-pe-los-chankas-2026-04-23,2026-04-23,local-league,Liga 1 · F11,Los Chankas,Cienciano,1,0,true,3,0,3.0,1.0,-0.75,3.25,"base=3(vic) CS=1 3A=-0,75 total=3,25",,
